Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A10060_001,SE_A10060_002,SE_A10060_003
"25001010100","14000US25001010100","Census Tract 101","Census Tract 101, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000908",,,,,"25","001",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702,1337,365
"25001010206","14000US25001010206","Census Tract 102.06","Census Tract 102.06, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000909",,,,,"25","001",,,,"010206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598,1358,240
"25001010208","14000US25001010208","Census Tract 102.08","Census Tract 102.08, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000910",,,,,"25","001",,,,"010208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,495,106
"25001010304","14000US25001010304","Census Tract 103.04","Census Tract 103.04, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000911",,,,,"25","001",,,,"010304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,991,129
"25001010306","14000US25001010306","Census Tract 103.06","Census Tract 103.06, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000912",,,,,"25","001",,,,"010306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,1182,94
"25001010400","14000US25001010400","Census Tract 104","Census Tract 104, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000913",,,,,"25","001",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422,1163,259
"25001010500","14000US25001010500","Census Tract 105","Census Tract 105, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000914",,,,,"25","001",,,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,1086,210
"25001010600","14000US25001010600","Census Tract 106","Census Tract 106, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000915",,,,,"25","001",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1533,1241,292
"25001010700","14000US25001010700","Census Tract 107","Census Tract 107, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000916",,,,,"25","001",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361,1200,161
"25001010800","14000US25001010800","Census Tract 108","Census Tract 108, Barnstable County, Massachusetts","ma","140","00","ACSSF","0000917",,,,,"25","001",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085,1928,157
